2702260;30/06/2026;05:26:22;60727;157605273879;27268102020;12,65;
270226;30/06/2026;05:26:39;60727;157605283069;27268102020;14,29;
270226;30/06/2026;05:26:47;60727;157605283083;27268102020;13,84;
270226;30/06/2026;05:26:57;60727;157605283045;27268102020;13,42;
270226;30/06/2026;05:27:06;60727;157605283168;27268102020;13,91;
270226;30/06/2026;05:27:17;60727;157605283113;27268102020;13,35;
270226;30/06/2026;05:27:26;60727;157605283076;27268102020;14,13;
270226;30/06/2026;05:27:36;60727;157605283106;27268102020;13,92;
270226;30/06/2026;05:27:43;60727;157605283090;27268102020;14,15;
270226;30/06/2026;05:27:53;60727;157605272872;27268102020;13,24;
270226;30/06/2026;05:28:06;60727;157605283144;27268102020;13,21;
270226;30/06/2026;05:28:19;60727;157605273046;27268102020;13,2;
270226;30/06/2026;05:28:25;60727;157605283182;27268102020;14,39;
270226;30/06/2026;05:28:32;60727;157605283151;27268102020;12,96;
270226;30/06/2026;05:28:43;60727;157605283120;27268102020;13,36;
270226;30/06/2026;05:28:51;60727;157605284486;27268102020;11,89;
270226;30/06/2026;05:29:00;60727;157605283137;27268102020;12,77;
270226;30/06/2026;05:29:09;60727;157605272995;27268102020;12,5;
270226;30/06/2026;05:29:16;60727;157605272902;27268102020;12,7;
270226;30/06/2026;05:29:30;60727;157605272919;27268102020;12,2;
270226;30/06/2026;05:29:40;60727;157605283175;27268102020;13,68;
270226;30/06/2026;05:29:46;60727;157605272926;27268102020;12,63;
270226;30/06/2026;05:29:52;60727;157605272889;27268102020;13,6;
270226;30/06/2026;05:30:06;60727;157605273756;27268102020;11,84;
270226;30/06/2026;05:30:13;60727;157605271622;27268102020;12,33;
270226;30/06/2026;05:30:20;60727;157605271646;27268102020;13,3;
270226;30/06/2026;05:30:28;60727;157605271653;27268102020;12,38;
270226;30/06/2026;05:30:34;60727;157605273732;27268102020;13,61;
270226;30/06/2026;05:30:43;60727;157605271592;27268102020;12,55;
270226;30/06/2026;05:30:49;60727;157605273817;27268102020;12,15;
270226;30/06/2026;05:31:02;60727;157605271639;27268102020;12,53;
270226;30/06/2026;05:31:10;60727;157605273695;27268102020;12,42;
270226;30/06/2026;05:31:20;60727;157605271660;27268102020;12,27;
270226;30/06/2026;05:31:29;60727;157605273718;27268102020;11,75;
270226;30/06/2026;05:31:40;60727;157605273671;27268102020;13,22;
270226;30/06/2026;05:31:56;60727;157605273688;27268102020;13,17;
270226;30/06/2026;05:32:05;60727;157605273091;27268102020;12,69;
270226;30/06/2026;05:32:14;60727;157605273701;27268102020;12,39;
270226;30/06/2026;05:32:19;60727;157605273800;27268102020;13;
270226;30/06/2026;05:32:30;60727;157605273831;27268102020;12,79;
270226;30/06/2026;05:32:40;60727;157605273725;27268102020;11,34;
270226;30/06/2026;05:32:47;60727;157605273152;27268102020;12,96;
270226;30/06/2026;05:32:56;60727;157605273770;27268102020;12,22;
270226;30/06/2026;05:33:05;60727;157605273749;27268102020;14,26;
270226;30/06/2026;05:33:12;60727;157605273787;27268102020;12,41;
270226;30/06/2026;05:33:24;60727;157605273855;27268102020;12,48;
270226;30/06/2026;05:33:29;60727;157605273220;27268102020;13,42;
270226;30/06/2026;05:33:49;60727;157605273763;27268102020;12,12;
270226;30/06/2026;05:33:55;60727;157605273862;27268102020;12,87;
270226;30/06/2026;05:34:04;60727;157605273848;27268102020;12,82;
270226;30/06/2026;05:34:16;60727;157605273824;27268102020;12,57;
270226;30/06/2026;05:34:22;60727;157605273138;27268102020;12,47;
270226;30/06/2026;05:34:31;60727;157605273084;27268102020;13,77;
270226;30/06/2026;05:34:37;60727;157605273077;27268102020;13,31;
270226;30/06/2026;05:34:46;60727;157605273206;27268102020;12,76;
270226;30/06/2026;05:34:52;60727;157605273114;27268102020;13,59;
270226;30/06/2026;05:35:01;60727;157605273121;27268102020;13,77;
270226;30/06/2026;05:35:11;60727;157605273107;27268102020;13,02;
270226;30/06/2026;05:35:18;60727;157605273169;27268102020;13,41;
270226;30/06/2026;05:35:41;60727;157605272896;27268102020;12,36;
270226;30/06/2026;05:35:50;60727;157605272940;27268102020;11,6;
270226;30/06/2026;05:35:56;60727;157605272964;27268102020;13,1;
270226;30/06/2026;05:36:06;60727;157605272988;27268102020;12,76;
270226;30/06/2026;05:37:24;60727;157605272957;27268102020;12,45;
270226;30/06/2026;05:37:36;60727;157605272490;27268102020;12,15;
270226;30/06/2026;05:37:42;60727;157605273060;27268102020;13,4;
270226;30/06/2026;05:37:46;60727;157605272933;27268102020;11,38;
270226;30/06/2026;05:37:58;60727;157605272971;27268102020;12,54;
270226;30/06/2026;05:38:04;60727;157605273022;27268102020;12,3;
270226;30/06/2026;05:38:17;60727;157605273015;27268102020;11,97;
270226;30/06/2026;05:38:27;60727;157605273145;27268102020;12,5;
270226;30/06/2026;05:38:32;60727;157605273176;27268102020;13,16;
270226;30/06/2026;05:38:44;60727;157605273268;27268102020;14,25;
270226;30/06/2026;05:39:32;60727;157605273008;27268102020;12,61;
270226;30/06/2026;05:39:42;60727;157605273190;27268102020;12,92;
270226;30/06/2026;05:39:49;60727;157605273213;27268102020;13,14;
270226;30/06/2026;05:40:04;60727;157605273183;27268102020;13,36;
270226;30/06/2026;05:40:09;60727;157605284479;27268102020;12,02;
270226;30/06/2026;05:40:16;60727;157605273244;27268102020;12,72;
270226;30/06/2026;05:40:25;60727;157605273237;27268102020;12,06;
270226;30/06/2026;05:40:30;60727;157605283038;27268102020;13,29;
270226;30/06/2026;05:40:38;60727;157605283052;27268102020;13,8;
270226;30/06/2026;05:40:52;60727;157605273251;27268102020;14,13;
270226;30/06/2026;05:41:07;60727;157605272643;27268102020;13,22;
270226;30/06/2026;05:41:16;60727;157605271929;27268102020;12,61;
270226;30/06/2026;05:41:21;60727;157605272629;27268102020;12,8;
270226;30/06/2026;05:41:31;60727;157605272575;27268102020;12,97;
270226;30/06/2026;05:41:39;60727;157605272605;27268102020;13,66;
270226;30/06/2026;05:41:48;60727;157605272667;27268102020;13,88;
270226;30/06/2026;05:41:55;60727;157605272636;27268102020;12,9;
270226;30/06/2026;05:42:03;60727;157605272582;27268102020;13,03;
270226;30/06/2026;05:42:07;60727;157605272650;27268102020;14,08;
270226;30/06/2026;05:42:15;60727;157605271943;27268102020;13,03;
270226;30/06/2026;05:42:23;60727;157605272612;27268102020;12,7;
270226;30/06/2026;05:42:27;60727;157605271875;27268102020;13,15;
270226;30/06/2026;05:42:43;60727;157605273039;27268102020;12,57;
270226;30/06/2026;05:42:48;60727;157605272537;27268102020;12,91;
270226;30/06/2026;05:42:55;60727;157605272483;27268102020;12,78;
270226;30/06/2026;05:43:05;60727;157605272599;27268102020;12,94;
270226;30/06/2026;05:43:09;60727;157605272544;27268102020;13,28;
270226;30/06/2026;05:43:17;60727;157605273053;27268102020;13,24;
270226;30/06/2026;05:43:27;60727;157605272506;27268102020;12,61;
270226;30/06/2026;05:43:32;60727;157605272568;27268102020;13,43;
270226;30/06/2026;05:43:41;60727;157605272520;27268102020;13,03;
270226;30/06/2026;05:43:55;60727;157605272551;27268102020;12,87;
270226;30/06/2026;05:44:10;60727;157605272513;27268102020;12,72;
270226;30/06/2026;05:44:16;60727;157605272476;27268102020;12,58;
270226;30/06/2026;05:44:22;60727;157605272339;27268102020;13,85;
270226;30/06/2026;05:44:30;60727;157605280075;27268102020;13,2;
270226;30/06/2026;05:44:36;60727;157605272292;27268102020;11,17;
270226;30/06/2026;05:44:45;60727;157605280051;27268102020;12,8;
270226;30/06/2026;05:44:51;60727;157605272360;27268102020;12,34;
270226;30/06/2026;05:45:00;60727;157605280099;27268102020;13,43;
270226;30/06/2026;05:45:08;60727;157605280235;27268102020;11,96;
270226;30/06/2026;05:45:14;60727;157605280150;27268102020;11,01;
270226;30/06/2026;05:45:23;60727;157605280198;27268102020;13,71;
270226;30/06/2026;05:45:31;60727;157605280174;27268102020;13,14;
270226;30/06/2026;05:45:38;60727;157605280211;27268102020;12,09;
270226;30/06/2026;05:45:42;60727;157605272278;27268102020;12,05;
270226;30/06/2026;05:45:57;60727;157605272322;27268102020;12,62;
270226;30/06/2026;05:46:02;60727;157605272285;27268102020;13,06;
270226;30/06/2026;05:46:07;60727;157605272391;27268102020;12,12;
270226;30/06/2026;05:46:16;60727;157605272346;27268102020;13,65;
270226;30/06/2026;05:46:21;60727;157605272353;27268102020;12,72;
270226;30/06/2026;05:46:29;60727;157605272315;27268102020;12,39;
270226;30/06/2026;05:46:33;60727;157605272414;27268102020;12,96;
270226;30/06/2026;05:46:41;60727;157605272384;27268102020;12,73;
270226;30/06/2026;05:46:46;60727;157605272407;27268102020;11,82;
270226;30/06/2026;05:46:52;60727;157605272308;27268102020;11,69;
270226;30/06/2026;05:46:58;60727;157605272377;27268102020;12,41;
270226;30/06/2026;05:47:06;60727;157605280365;27268102020;12,88;
270226;30/06/2026;05:47:13;60727;157605271899;27268102020;11,7;
270226;30/06/2026;05:47:19;60727;157605271912;27268102020;13,29;
270226;30/06/2026;05:47:28;60727;157605271950;27268102020;12,85;
270226;30/06/2026;05:47:33;60727;157605272018;27268102020;12,47;
270226;30/06/2026;05:47:41;60727;157605271905;27268102020;12,69;
270226;30/06/2026;05:47:47;60727;157605271882;27268102020;13,36;
270226;30/06/2026;05:47:52;60727;157605271998;27268102020;12,45;
270226;30/06/2026;05:48:15;60727;157605271974;27268102020;12,48;
270226;30/06/2026;05:48:20;60727;157605271936;27268102020;13,49;
270226;30/06/2026;05:48:32;60727;157605272025;27268102020;12,93;
270226;30/06/2026;05:48:38;60727;157605272001;27268102020;12,67;
270226;30/06/2026;05:48:44;60727;157605271967;27268102020;12,6;
270226;30/06/2026;05:49:02;60727;157605272841;27268102020;11,99;
270226;30/06/2026;05:49:07;60727;157605272063;27268102020;13,76;
270226;30/06/2026;05:49:19;60727;157605271981;27268102020;12,48;
270226;30/06/2026;05:49:25;60727;157605272056;27268102020;12,9;
270226;30/06/2026;05:49:33;60727;157605272681;27268102020;13,46;
270226;30/06/2026;05:49:41;60727;157605272032;27268102020;13,68;
270226;30/06/2026;05:49:47;60727;157605272759;27268102020;14,13;
270226;30/06/2026;05:49:52;60727;157605272742;27268102020;12,4;
270226;30/06/2026;05:50:04;60727;157605272049;27268102020;12,59;
270226;30/06/2026;05:50:12;60727;157605272735;27268102020;12,18;
